data_estimativa;data_pagamento;base_de_calculo;perc_transmitido;'finalidade_construcao';'logradouro';n_endereco;'n_unidade';'complemento_endereco';'bairro';cep;area_total_terreno;area_constr_total;area_constr_privativa;ano_construcao;'n_matricula_reg_imoveis';'n_zona_reg_imoveis';'situacao'
;2025/01/01 00:00:00;700000.00;0.99;'RESIDENCIAL';'RUA MARAMBAIA';687;'APT 503 BLOCO 2';'';'CAICARAS';30770100;4881.6;105.71;105.71;2016;'';'ZAP';'CONCLUIDO'
;2025/01/01 00:00:00;180000.00;1.05;'RESIDENCIAL';'RUA SOCRATES ALVIM';11;'BLOCO 5 APT 303';'';'CAMARGOS';30520140;4294.46;48.92;48.92;2002;'';'ZE';'CONCLUIDO'
;2025/01/02 00:00:00;267246.93;0.28;'NAO RESIDENCIAL';'AVE AMAZONAS';7702;'APT 119';'';'NOVA GAMELEIRA';30510000;3630.24;53.83;53.83;2016;'';'ZE';'CONCLUIDO'
;2025/01/02 00:00:00;180000.00;0.34;'RESIDENCIAL';'AVE JOSE LOPES MURADAS';322;'BLOCO A2 APT 204';'';'FLORAMAR';31742084;23962;56;56;1981;'';'ZAP';'CONCLUIDO'
;2025/01/02 00:00:00;479448.39;5.88;'RESIDENCIAL';'AVE MARQUES DE VALENCA';214;'APT 201';'';'GUTIERREZ';30441106;503;107.49;107.49;1979;'';'ZA';'CONCLUIDO'
;2025/01/02 00:00:00;4479040.80;100.00;'NAO RESIDENCIAL';'AVE MEM DE SA';120;'';'';'SANTA EFIGENIA';30260270;1292.15;1463.35;1463.35;1996;'';'ZA';'CONCLUIDO'
;2025/01/02 00:00:00;306990.29;1.11;'RESIDENCIAL';'AVE PORTUGAL';5355;'APT 102 BLOCO 4';'';'ITAPOA';31710400;3222;61.76;61.76;2005;'';'ZAP';'CONCLUIDO'
;2025/01/02 00:00:00;343999.83;0.30;'NAO RESIDENCIAL';'AVE PRUDENTE DE MORAIS';520;'APT 1005';'';'CIDADE JARDIM';30380002;2431.19;47.36;94.72;2013;'';'ZA';'CONCLUIDO'
;2025/01/02 00:00:00;555206.40;16.67;'RESIDENCIAL';'PCA ENGENHEIRO LENINE SAVINI';532;'APT 101';'';'PLANALTO';31720585;360;120;120;1986;'';'ZAR2';'CONCLUIDO'
;2025/01/02 00:00:00;446099.37;0.41;'RESIDENCIAL';'RUA ALGA AZUL';75;'APT 1507 BLOCO 1';'';'JARDIM GUANABARA';31742257;8080.5;81.92;81.92;2023;'';'ZAP';'CONCLUIDO'
;2025/01/02 00:00:00;4795000.00;4.92;'RESIDENCIAL';'RUA ALMIRANTE TAMANDARE';477;'APT 1901';'';'GUTIERREZ';30441086;1920;387.06;387.06;2024;'';'ZA';'CONCLUIDO'
;2025/01/02 00:00:00;293988.24;5.53;'RESIDENCIAL';'RUA ALVARES DA SILVA';62;'APT 501';'';'UNIAO';31160360;720;76.92;76.92;2003;'';'ZAP';'CONCLUIDO'
;2025/01/02 00:00:00;300000.00;0.60;'RESIDENCIAL';'RUA ANTONIO ORLINDO DE CASTRO';441;'APT 705 BLOCO 2';'';'SAO JOAO BATISTA';31515290;6630.48;68.03;68.03;2015;'';'ZAP';'CONCLUIDO'
;2025/01/02 00:00:00;915000.00;17.03;'RESIDENCIAL';'RUA AURELIANO LESSA';31;'APT 500';'';'LIBERDADE';31270200;360;204.24;204.24;2009;'';'ZAP';'CONCLUIDO'
;2025/01/02 00:00:00;520666.00;3.55;'RESIDENCIAL';'RUA BENJAMIM JACOB';184;'APT 701';'';'GUTIERREZ';30441146;1133;110.78;110.78;2012;'';'ZA';'CONCLUIDO'
;2025/01/02 00:00:00;243333.12;3.96;'NAO RESIDENCIAL';'RUA BERNARDO GUIMARAES';20;'SALA 802';'';'FUNCIONARIOS';30140080;337;53.4;53.4;1994;'';'ZCBH';'CONCLUIDO'
;2025/01/02 00:00:00;304950.00;0.32;'RESIDENCIAL';'RUA BOGARI';100;'APT 1711';'';'NOVA SUISSA';30421188;1498;34.84;34.84;2024;'';'ZAP';'CONCLUIDO'
;2025/01/02 00:00:00;321000.00;0.32;'RESIDENCIAL';'RUA BOGARI';100;'APT 1906';'';'NOVA SUISSA';30421188;1498;34.84;34.84;2024;'';'ZAP';'CONCLUIDO'
;2025/01/02 00:00:00;338000.00;0.35;'RESIDENCIAL';'RUA BOGARI';100;'APT 609';'';'NOVA SUISSA';30421188;1498;38.9;38.9;2024;'';'ZAP';'CONCLUIDO'
;2025/01/02 00:00:00;318100.00;0.32;'RESIDENCIAL';'RUA BOGARI';100;'APT 915';'';'NOVA SUISSA';30421188;1498;34.84;34.84;2024;'';'ZAP';'CONCLUIDO'
;2025/01/02 00:00:00;347396.81;4.25;'RESIDENCIAL';'RUA CALUNGA';78;'APT 303';'';'JARAGUA';31270410;800.66;92.55;92.55;2014;'';'ZAP';'CONCLUIDO'
;2025/01/02 00:00:00;219475.71;1.76;'RESIDENCIAL';'RUA CAMPO VERDE';43;'APT 201 BLOCO 8';'';'JULIANA';31744513;3761.59;47.36;47.36;2007;'';'ZAP';'CONCLUIDO'
;2025/01/02 00:00:00;430000.00;16.67;'RESIDENCIAL';'RUA CANTOR LUIZ GONZAGA';383;'APT 302';'';'CASTELO';30840340;420;125.02;125.02;1994;'';'ZAR2';'CONCLUIDO'
;2025/01/02 00:00:00;750000.00;46.98;'RESIDENCIAL';'RUA CARMESIA';70;'CASA 02';'';'SANTA INES';31080170;360;216.94;216.94;2022;'';'ZAP';'CONCLUIDO'
;2025/01/02 00:00:00;920000.00;100.00;'RESIDENCIAL';'RUA CATETE';370;'';'';'BARROCA';30431089;340;206;194;1955;'';'ZA';'CONCLUIDO'
;2025/01/02 00:00:00;260176.85;1.25;'RESIDENCIAL';'RUA DAS MANGUEIRAS';40;'APT 302 BLOCO 2';'';'ESTRELA DO ORIENTE';30580340;2610.01;53.02;53.02;2013;'';'ZAP';'CONCLUIDO'
;2025/01/02 00:00:00;285000.00;0.36;'RESIDENCIAL';'RUA DEPUTADO SEBASTIAO NASCIMENTO';181;'APT 303';'';'HAVAI';30575410;27674;84;84;1982;'';'ZAR2';'CONCLUIDO'
;2025/01/02 00:00:00;514290.00;11.19;'RESIDENCIAL';'RUA DO CARMELO';68;'APT 205';'';'SANTA MONICA';31565260;600;122.45;122.45;2011;'';'ZAP';'CONCLUIDO'
;2025/01/02 00:00:00;172066.39;0.28;'RESIDENCIAL';'RUA DOIS MIL QUATROCENTOS E SESSENTA E NOVE';140;'APT 202 BLOCO 13';'';'JARDIM VITORIA';31970322;23547.36;50.84;50.84;2012;'';'ZP1';'CONCLUIDO'
;2025/01/02 00:00:00;619158.23;3.58;'RESIDENCIAL';'RUA DOMINGOS VIEIRA';68;'APT 102';'';'SANTA EFIGENIA';30150240;540;149.42;149.42;1995;'';'ZCBH';'CONCLUIDO'
;2025/01/02 00:00:00;380000.00;6.59;'RESIDENCIAL';'RUA DONATO DA FONSECA';689;'APT 301';'';'CORACAO DE JESUS';30380260;720;85.6;171.2;1978;'';'ZA';'CONCLUIDO'
;2025/01/02 00:00:00;1359984.00;1.96;'RESIDENCIAL';'RUA DOS AIMORES';2277;'APT 1302';'';'LOURDES';30140074;1230;156.32;156.32;2022;'';'ZCBH';'CONCLUIDO'
;2025/01/02 00:00:00;222161.94;1.21;'RESIDENCIAL';'RUA DOS CRENAQUES';435;'APT 103 BLOCO 4';'';'RIO BRANCO';31530410;3604.7;53.43;53.43;2009;'';'ZAP';'CONCLUIDO'
;2025/01/02 00:00:00;41664.00;0.08;'RESIDENCIAL';'RUA DOS INCONFIDENTES';766;'GARAGE VR 70';'';'SAVASSI';30140124;1596.4;8.96;8.96;2021;'';'ZCBH';'CONCLUIDO'
;2025/01/02 00:00:00;2700000.00;4.93;'RESIDENCIAL';'RUA DOS POLOS';100;'APT 901';'';'SANTA LUCIA';30360530;2957;337.55;337.55;2016;'';'ZAR1';'CONCLUIDO'
;2025/01/02 00:00:00;625000.18;8.65;'RESIDENCIAL';'RUA DOS TUPIS';300;'APT 501';'';'CENTRO';30190061;390;286.03;572.06;1957;'';'ZHIP';'CONCLUIDO'
;2025/01/02 00:00:00;900000.00;100.00;'RESIDENCIAL';'RUA DOS VETERINARIOS';186;'';'';'ALIPIO DE MELO';30840280;259;191.13;191.13;1976;'';'ZAR2';'CONCLUIDO'
;2025/01/02 00:00:00;1060000.00;6.74;'RESIDENCIAL';'RUA DOUTOR TELES';227;'APT 102';'';'LIBERDADE';31270180;720;215.48;215.48;2013;'';'ZAP';'CONCLUIDO'
