data_estimativa;data_pagamento;base_de_calculo;perc_transmitido;'finalidade_construcao';'logradouro';n_endereco;'n_unidade';'complemento_endereco';'bairro';cep;area_total_terreno;area_constr_total;area_constr_privativa;ano_construcao;'n_matricula_reg_imoveis';'n_zona_reg_imoveis';'situacao'
2022/03/15 00:00:00;;990000.00;100.00;;'Rua DR FREIRE ALEMAO';75;;;'AUXILIADORA';90450060;329.34;;;;'114197';'1';'Lançada'
2022/03/15 00:00:00;;1300000.00;100.00;'RESIDENCIA ISOLADA';'Rua EUDORO BERLINK';508;'508';;'AUXILIADORA';90450030;435.60;1.00;1.00;;'77325';'1';'Lançada'
2022/03/15 00:00:00;;1305000.00;100.00;'RESIDENCIA ISOLADA';'Rua EUDORO BERLINK';502;'502';;'AUXILIADORA';90450030;435.60;1.00;1.00;;'106157';'1';'Lançada'
2022/01/04 00:00:00;;1100000.00;100.00;'APARTAMENTO';'Rua ANITA GARIBALDI';2530;'201';;'PASSO DA AREIA';90450000;0.00;298.13;210.18;2012;'167754';'4';'Lançada'
2022/01/04 00:00:00;;;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua ANITA GARIBALDI';2530;'1';;'PASSO DA AREIA';90450000;0.00;19.28;15.12;2012;'167774';'4';'Lançada'
2022/01/04 00:00:00;;;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua ANITA GARIBALDI';2530;'2';;'PASSO DA AREIA';90450000;0.00;20.74;16.18;2012;'167775';'4';'Lançada'
2022/01/21 00:00:00;;5400000.00;50.00;;'Rua ANITA GARIBALDI';1833;;;'BOA VISTA';90450000;2178.00;;;;'2110';'4';'Lançada'
2022/01/21 00:00:00;;3820000.00;50.00;;'Rua ANITA GARIBALDI';1861;;'e 1869';'BOA VISTA';90450000;1306.80;;;;'74628';'4';'Lançada'
2022/04/12 00:00:00;;400000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua FERREIRA VIANA';3;'8';'APTO 301 - BOX 08';'PETROPOLIS';90670100;0.00;12.05;10.58;1999;'107379';'2';'Lançada'
2022/04/12 00:00:00;;;100.00;'APARTAMENTO';'Rua FERREIRA VIANA';3;'301';'APTO 301 - BOX 08';'PETROPOLIS';90670100;0.00;115.70;74.44;1999;'107365';'2';'Lançada'
2022/03/17 00:00:00;;2310000.00;100.00;'RESIDENCIA ISOLADA';'Avenida BASTIAN';294;'294';;'MENINO DEUS';90130021;497.72;200.00;200.00;2002;'24817';'5';'Lançada'
2022/04/07 00:00:00;;3944442.93;25.00;;'Rua DR JOAO INACIO';1210;;;'NAVEGANTES';90230180;8465.80;;;;'113926';'1';'Lançada'
2022/01/19 00:00:00;;268000.00;100.00;'APARTAMENTO';'Avenida BENNO MENTZ';635;'201';;'VILA IPIRANGA';91370020;0.00;87.97;69.70;1983;'57869';'4';'Lançada'
2022/01/19 00:00:00;;35000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Avenida BENNO MENTZ';635;'4';;'VILA IPIRANGA';91370020;0.00;16.74;13.26;1983;'57867';'4';'Lançada'
2022/10/04 00:00:00;;800000.00;100.00;'RESIDENCIA CONDOM HORIZ ABERTO SEM AREA USO COMUM';'Travessa JAGUARAO';184;'1';'CASA 1';'PASSO DA AREIA';90520070;0.00;181.28;163.68;2009;'152788';'4';'Lançada'
2022/02/28 00:00:00;;5000000.00;100.00;'POSTO DE COMBUSTIVEL';'Avenida DA  AZENHA';355;'355';;'AZENHA';90160000;717.00;1079.00;1079.00;2006;'54648';'2';'Lançada'
2022/01/31 00:00:00;;378000.00;100.00;'APARTAMENTO';'Rua ANITA GARIBALDI';1122;'503';;'MONT SERRAT';90450000;0.00;111.52;78.36;1988;'71585';'1';'Lançada'
2022/02/16 00:00:00;;471000.00;100.00;'APARTAMENTO';'Rua CEL GENUINO';280;'302';;'CENTRO HISTORIC';90010350;0.00;113.32;93.16;1975;'94042';'2';'Lançada'
2022/02/18 00:00:00;;650000.00;100.00;'UNIDADE DE COMERCIO E SERVICO ISOLADA';'Rua ERNESTO ALVES';86;'86';;'FLORESTA';90220190;319.61;203.00;203.00;1967;'99152';'1';'Lançada'
2022/02/18 00:00:00;;90000.00;50.00;'LOJA TERREA EM EDIFICIO';'Rua CEL GENUINO';276;'1';;'CENTRO HISTORIC';90010350;0.00;72.35;72.03;1974;'15008';'5';'Lançada'
2022/02/16 00:00:00;;153000.00;100.00;'APARTAMENTO';'Rua SOFIA VELOSO';46;'202';;'CIDADE BAIXA';90050140;0.00;36.67;26.24;1981;'61847';'2';'Lançada'
