"'data_estimativa'";"data_pagamento";"base_de_calculo";"perc_transmitido";"'finalidade_construcao'";"'logradouro'";"n_endereco";"n_unidade";"'complemento_endereco'";"'bairro'";"cep";"area_total_terreno";"area_constr_total";"area_constr_privativa";"ano_construcao";"'n_matricula_reg_imoveis'";"'n_zona_reg_imoveis'";"'situacao'"
"'2018-02-16'";"2018-02-16 00:00:00";"349000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"375""";"";"'apto 303 edf luar do rosarinho'";"'Encruzilhada'";"";"798,91";"118,55";"118,55";"2007""";"''";"''";"'CONCLUIDO'"
"'2018-12-13'";"2018-12-13 00:00:00";"262000.00";"100.00";"'Apartamento <= 4 Pavimentos'";"'rua caio pereira'";"341""";"";"'apto 0302 edf cristal'";"'Encruzilhada'";"";"504,0";"156,45";"156,45";"1969""";"''";"''";"'CONCLUIDO'"
"'2018-12-13'";"2018-12-13 00:00:00";"564534.77";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 1503 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,49";"145,49";"2017""";"''";"''";"'CONCLUIDO'"
"'2018-02-28'";"2018-02-28 00:00:00";"614000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 402 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,8";"145,8";"2017""";"''";"''";"'CONCLUIDO'"
"'2018-08-08'";"2018-08-08 00:00:00";"545000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 901 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,68";"145,68";"2017""";"''";"''";"'CONCLUIDO'"
"'2018-09-17'";"2018-09-17 00:00:00";"566776.48";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 1402 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,8";"145,8";"2017""";"''";"''";"'CONCLUIDO'"
"'2018-05-29'";"2018-05-29 00:00:00";"620000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 1601 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,68";"145,68";"2017""";"''";"''";"'CONCLUIDO'"
"'2018-05-16'";"2018-05-16 00:00:00";"579716.99";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 1903 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,49";"145,49";"2017""";"''";"''";"'CONCLUIDO'"
"'2018-10-26'";"2018-10-26 00:00:00";"570000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 1001 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,68";"145,68";"2017""";"''";"''";"'CONCLUIDO'"
"'2018-12-06'";"2018-12-06 00:00:00";"2133.20";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 1001 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,68";"145,68";"2017""";"''";"''";"'CONCLUIDO'"
"'2018-05-14'";"2018-05-14 00:00:00";"586000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 201 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,68";"145,68";"2017""";"''";"''";"'CONCLUIDO'"
"'2018-08-28'";"2018-08-28 00:00:00";"542291.43";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 503 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,49";"145,49";"2017""";"''";"''";"'CONCLUIDO'"
"'2018-06-18'";"2018-06-18 00:00:00";"520000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 603 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,49";"145,49";"2017""";"''";"''";"'CONCLUIDO'"
"'2018-02-01'";"2018-02-01 00:00:00";"579727.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 701 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,68";"145,68";"2017""";"''";"''";"'CONCLUIDO'"
"'2018-02-26'";"2018-02-26 00:00:00";"582200.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 1002 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,8";"145,8";"2017""";"''";"''";"'CONCLUIDO'"
"'2018-05-25'";"2018-05-25 00:00:00";"554672.90";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 1003 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,49";"145,49";"2017""";"''";"''";"'CONCLUIDO'"
"'2018-03-05'";"2018-03-05 00:00:00";"542000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 1302 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,8";"145,8";"2017""";"''";"''";"'CONCLUIDO'"
"'2018-12-12'";"2018-12-12 00:00:00";"620000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 1403 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,49";"145,49";"2017""";"''";"''";"'CONCLUIDO'"
"'2018-05-30'";"2018-05-30 00:00:00";"623000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 1702 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,8";"145,8";"2017""";"''";"''";"'CONCLUIDO'"
"'2018-02-06'";"2018-02-06 00:00:00";"15643.03";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 1802 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,8";"145,8";"2017""";"''";"''";"'CONCLUIDO'"
"'2018-03-16'";"2018-03-16 00:00:00";"643413.58";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 1902 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,8";"145,8";"2017""";"''";"''";"'CONCLUIDO'"
"'2018-11-05'";"2018-11-05 00:00:00";"860000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 1501 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2018-01-05'";"2018-01-05 00:00:00";"280000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"390""";"";"'apto 902 edf acantis'";"'Encruzilhada'";"";"1147,48";"174,33";"174,33";"2005""";"''";"''";"'CONCLUIDO'"
"'2018-03-20'";"2018-03-20 00:00:00";"501008.31";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"578""";"";"'apto 0202 edf praia de ceres'";"'Encruzilhada'";"";"861,0";"184,77";"184,77";"2002""";"''";"''";"'CONCLUIDO'"
"'2018-04-23'";"2018-04-23 00:00:00";"595234.40";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"578""";"";"'apto 0401 edf praia de ceres'";"'Encruzilhada'";"";"861,0";"184,77";"184,77";"2002""";"''";"''";"'CONCLUIDO'"
"'2018-01-04'";"2018-01-04 00:00:00";"516206.77";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 1101 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"139,58";"139,58";"2010""";"''";"''";"'CONCLUIDO'"
"'2018-06-21'";"2018-06-21 00:00:00";"386000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 1202 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"111,89";"111,89";"2010""";"''";"''";"'CONCLUIDO'"
"'2018-08-03'";"2018-08-03 00:00:00";"523861.79";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 1404 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"139,58";"139,58";"2010""";"''";"''";"'CONCLUIDO'"
