"'data_estimativa'";"data_pagamento";"base_de_calculo";"perc_transmitido";"'finalidade_construcao'";"'logradouro'";"n_endereco";"n_unidade";"'complemento_endereco'";"'bairro'";"cep";"area_total_terreno";"area_constr_total";"area_constr_privativa";"ano_construcao";"'n_matricula_reg_imoveis'";"'n_zona_reg_imoveis'";"'situacao'"
"'2020-03-13'";"2020-03-13 00:00:00";"172000.00";"100.00";"'Apartamento <= 4 Pavimentos'";"'av norte miguel arraes de alencar'";"3003""";"";"'apto d edf baby'";"'Encruzilhada'";"";"511,0";"102,11";"102,11";"1955""";"''";"''";"'CONCLUIDO'"
"'2020-03-05'";"2020-03-05 00:00:00";"400000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"375""";"";"'apto 803 edf luar do rosarinho'";"'Encruzilhada'";"";"798,91";"132,01";"132,01";"2007""";"''";"''";"'CONCLUIDO'"
"'2020-02-20'";"2020-02-20 00:00:00";"527689.27";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 101 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,68";"145,68";"2017""";"''";"''";"'CONCLUIDO'"
"'2020-10-20'";"2020-10-20 00:00:00";"560000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 403 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,49";"145,49";"2017""";"''";"''";"'CONCLUIDO'"
"'2020-10-26'";"2020-10-26 00:00:00";"567833.74";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 801 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,68";"145,68";"2017""";"''";"''";"'CONCLUIDO'"
"'2020-04-20'";"2020-04-20 00:00:00";"546129.11";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 801 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,68";"145,68";"2017""";"''";"''";"'CONCLUIDO'"
"'2020-01-24'";"2020-01-24 00:00:00";"556954.05";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 1201 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,68";"145,68";"2017""";"''";"''";"'CONCLUIDO'"
"'2020-01-28'";"2020-01-28 00:00:00";"578556.46";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 2003 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,49";"145,49";"2017""";"''";"''";"'CONCLUIDO'"
"'2020-06-16'";"2020-06-16 00:00:00";"530686.95";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 202 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,8";"145,8";"2017""";"''";"''";"'CONCLUIDO'"
"'2020-10-07'";"2020-10-07 00:00:00";"570000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 903 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,49";"145,49";"2017""";"''";"''";"'CONCLUIDO'"
