data_estimativa;data_pagamento;base_de_calculo;perc_transmitido;'finalidade_construcao';'logradouro';n_endereco;'n_unidade';'complemento_endereco';'bairro';cep;area_total_terreno;area_constr_total;area_constr_privativa;ano_construcao;'n_matricula_reg_imoveis';'n_zona_reg_imoveis';'situacao'
;2017/07/17 00:00:00;34300000;2.52;'RESIDENCIAL Apartamento > 4 Pavimentos';'rua caio pereira';375;'';'apto 201 edf luar do rosarinho';'Encruzilhada';;798.91;118.64;118.64;2007;'';'';'CONCLUIDO'
;2017/06/30 00:00:00;41000000;2.70;'RESIDENCIAL Apartamento > 4 Pavimentos';'rua caio pereira';375;'';'apto 1202 edf luar do rosarinho';'Encruzilhada';;798.91;132.11;132.11;2007;'';'';'CONCLUIDO'
;2017/02/07 00:00:00;46000000;2.70;'RESIDENCIAL Apartamento > 4 Pavimentos';'rua caio pereira';375;'';'apto 1303 edf luar do rosarinho';'Encruzilhada';;798.91;132.01;132.01;2007;'';'';'CONCLUIDO'
;2017/06/14 00:00:00;63851011;1.59;'RESIDENCIAL Apartamento > 4 Pavimentos';'rua caio pereira';800;'';'apto 401 edf sainte juliana';'Encruzilhada';;1295.39;145.68;145.68;2017;'';'';'CONCLUIDO'
;2017/06/21 00:00:00;62316268;1.59;'RESIDENCIAL Apartamento > 4 Pavimentos';'rua caio pereira';800;'';'apto 501 edf sainte juliana';'Encruzilhada';;1295.39;145.68;145.68;2017;'';'';'CONCLUIDO'
;2017/08/18 00:00:00;55840000;1.59;'RESIDENCIAL Apartamento > 4 Pavimentos';'rua caio pereira';800;'';'apto 602 edf sainte juliana';'Encruzilhada';;1295.39;145.8;145.8;2017;'';'';'CONCLUIDO'
;2017/09/01 00:00:00;69187522;1.59;'RESIDENCIAL Apartamento > 4 Pavimentos';'rua caio pereira';800;'';'apto 801 edf sainte juliana';'Encruzilhada';;1295.39;145.68;145.68;2017;'';'';'CONCLUIDO'
;2017/06/28 00:00:00;63288326;1.58;'RESIDENCIAL Apartamento > 4 Pavimentos';'rua caio pereira';800;'';'apto 803 edf sainte juliana';'Encruzilhada';;1295.39;145.49;145.49;2017;'';'';'CONCLUIDO'
;2017/07/26 00:00:00;66599514;1.59;'RESIDENCIAL Apartamento > 4 Pavimentos';'rua caio pereira';800;'';'apto 1202 edf sainte juliana';'Encruzilhada';;1295.39;145.8;145.8;2017;'';'';'CONCLUIDO'
;2017/11/22 00:00:00;56014307;1.58;'RESIDENCIAL Apartamento > 4 Pavimentos';'rua caio pereira';800;'';'apto 1203 edf sainte juliana';'Encruzilhada';;1295.39;145.49;145.49;2017;'';'';'CONCLUIDO'
