data_estimativa;data_pagamento;base_de_calculo;perc_transmitido;'finalidade_construcao';'logradouro';n_endereco;'n_unidade';'complemento_endereco';'bairro';cep;area_total_terreno;area_constr_total;area_constr_privativa;ano_construcao;'n_matricula_reg_imoveis';'n_zona_reg_imoveis';'situacao'
2023/01/25 00:00:00;;15150000.00;100.00;'UNIDADE DE COMERCIO E SERVICO ISOLADA';'Rua PROF CRISTIANO FISCHER';1680;'1680';;'JARDIM DO SALSO';91410001;9178.00;2742.82;2742.82;1985;'78244';'3';'Lançada'
2023/01/25 00:00:00;;6900000.00;100.00;;'Rua PROF CRISTIANO FISCHER';1648;;;'JARDIM DO SALSO';91410001;4939.00;;;;'769';'3';'Lançada'
2023/04/10 00:00:00;;1060000.00;100.00;'GARAGEM COLETIVA';'Avenida CAPIVARI';1222;;;'CRISTAL';90810070;1396.00;805.00;805.00;1982;'42772';'5';'Lançada'
2023/04/10 00:00:00;;605000.00;100.00;'RESIDENCIA ISOLADA';'Rua UPAMAROTI';320;;;'CRISTAL';90820140;816.00;405.00;405.00;1982;'42773';'5';'Lançada'
2023/04/10 00:00:00;;673500.00;100.00;'UNIDADE (DE COMÉRCIO OU SERVIÇOS) DE  FRENTE NÃO ISOLADA';'Rua DUQUE DE CAXIAS';170;;;'CENTRO HISTORIC';90010282;102.00;250.00;250.00;;'188';'5';'Lançada'
2023/04/10 00:00:00;;6800000.00;100.00;'UNIDADE (DE COMÉRCIO OU SERVIÇOS) DE  FRENTE NÃO ISOLADA';'Avenida CEL APARICIO BORGES';1142;;;'PARTENON';90680570;6489.55;399.00;399.00;;'108956';'2';'Lançada'
2023/03/10 00:00:00;;50000.00;100.00;'ESPACO DE ESTACIONAMENTO NAO RESIDENCIAL';'Rua LUCIANA DE ABREU';471;'17';;'MOINHOS VENTO';90570060;0.00;45.35;13.92;1990;'94456';'1';'Lançada'
2023/03/10 00:00:00;;365000.00;100.00;'SALA COMERCIAL';'Rua LUCIANA DE ABREU';471;'303';;'MOINHOS VENTO';90570060;0.00;56.95;47.35;1990;'94476';'1';'Lançada'
2023/03/10 00:00:00;;50000.00;100.00;'ESPACO DE ESTACIONAMENTO NAO RESIDENCIAL';'Rua LUCIANA DE ABREU';471;'16';;'MOINHOS VENTO';90570060;0.00;45.35;13.92;1990;'94455';'1';'Lançada'
2023/03/10 00:00:00;;50000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua ANITA GARIBALDI';1122;'29';;'MONT SERRAT';90450000;0.00;14.48;12.00;1988;'71638';'1';'Lançada'
2023/03/10 00:00:00;;570000.00;100.00;'APARTAMENTO';'Rua ANITA GARIBALDI';1122;'506';;'MONT SERRAT';90450000;0.00;168.10;118.18;1988;'71606';'1';'Lançada'
2023/03/10 00:00:00;;645000.00;50.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua ENG AFONSO CAVALCANTI';135;'1 e 2';;'BELA VISTA';90440110;0.00;37.07;31.67;;'164048';'1';'Lançada'
2023/03/10 00:00:00;;;50.00;'APARTAMENTO';'Rua ENG AFONSO CAVALCANTI';135;'701';;'BELA VISTA';90440110;0.00;344.65;294.42;1974;'164041';'1';'Lançada'
