data_estimativa;data_pagamento;base_de_calculo;perc_transmitido;'finalidade_construcao';'logradouro';n_endereco;'n_unidade';'complemento_endereco';'bairro';cep;area_total_terreno;area_constr_total;area_constr_privativa;ano_construcao;'n_matricula_reg_imoveis';'n_zona_reg_imoveis';'situacao'
2021/06/10 00:00:00;;1440000.00;100.00;'UNIDADE DE COMERCIO E SERVICO ISOLADA';'Avenida CRISTOVAO COLOMBO';2333;'2333';;'AUXILIADORA';90560000;310.00;286.00;286.00;2009;'54520';'1';'Lançada'
2021/06/14 00:00:00;;1200000.00;100.00;'LOJA TERREA EM EDIFICIO';'Avenida CRISTOVAO COLOMBO';1029;'1029';'LOJA TERREA COM ENTRADA PELO N°1029';'MOINHOS VENTO';90560000;0.00;417.33;340.16;1987;'77251';'1';'Lançada'
2021/06/10 00:00:00;;300000.00;100.00;'LOJA TERREA EM EDIFICIO';'Avenida PROTASIO ALVES';705;'1';'LOJA 1 TERREA';'SANTA CECILIA';90410001;0.00;56.55;55.06;1957;'49495';'2';'Lançada'
2021/06/10 00:00:00;;450000.00;100.00;'LOJA TERREA EM EDIFICIO';'Avenida PROTASIO ALVES';699;'2';'LOJA 2 TERREA';'SANTA CECILIA';90410001;0.00;72.28;70.38;1957;'49496';'2';'Lançada'
2021/06/10 00:00:00;;440000.00;100.00;'RESIDENCIA ISOLADA';'Rua PADRE JOAO BATISTA REUS';2646;'2646';;'CAMAQUA';91920000;554.00;53.00;53.00;1965;'43818';'3';'Lançada'
2021/06/10 00:00:00;;230000.00;100.00;'SALA COMERCIAL';'Avenida GETULIO VARGAS';1594;'609';'SALA 609';'MENINO DEUS';90150000;0.00;57.94;42.57;1990;'26903';'5';'Lançada'
2021/06/10 00:00:00;;225000.00;100.00;'SALA COMERCIAL';'Avenida GETULIO VARGAS';1594;'509';'CONJUNTO 509';'MENINO DEUS';90150000;0.00;57.94;42.57;1990;'13917';'5';'Lançada'
2021/06/10 00:00:00;;50000.00;100.00;'ESPACO DE ESTACIONAMENTO NAO RESIDENCIAL';'Avenida GETULIO VARGAS';1594;'13';'ESTACIONAMENTO 13';'MENINO DEUS';90150000;0.00;14.26;12.50;1990;'13918';'5';'Lançada'
2021/06/10 00:00:00;;93500.00;100.00;'APARTAMENTO';'Rua BARONEZA DO GRAVATAI';562;'306';'APTO 306';'MENINO DEUS';90130010;0.00;34.45;27.07;1980;'7997';'5';'Lançada'
2021/06/10 00:00:00;;320000.00;100.00;'APARTAMENTO';'Avenida GETULIO VARGAS';997;'101';'APTO 101';'MENINO DEUS';90150000;0.00;95.96;90.04;1969;'4809';'5';'Lançada'
